--------------
13.2,53.255083
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.204129
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.204388
14.2,53.395727
15.2,53.428331
16.2,52.438366
--------------
13.2,53.204388
14.2,53.395727
15.2,53.428331
16.2,52.438366
--------------
13.2,53.204388
14.2,53.395727
15.2,53.428331
16.2,52.438366
--------------
13.2,0.000000
14.2,0.000000
15.2,0.000000
16.2,0.000000
--------------
13.2,0.000000
14.2,0.000000
15.2,0.000000
16.2,0.000000
--------------
13.2,0.000000
14.2,0.000000
15.2,0.000000
16.2,0.000000
--------------
13.2,53.254968
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.254968
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.254968
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.254968
14.2,53.387622
15.2,53.281054
16.2,53.055298
--------------
13.2,53.255331
14.2,53.387622
15.2,54.000000
16.2,53.033333
--------------
13.2,53.415662
14.2,53.387622
15.2,53.430648
16.2,52.802355
--------------
13.2,53.550000
14.2,53.925000
15.2,53.450000
16.2,52.950000
--------------
13.2,53.254968
14.2,53.387622
15.2,53.281054
16.2,53.055298
